"Item_Identifier","Outlet_Identifier","Prediction (Item_Outlet_Sales)"
"DRE60","OUT027",4933
"FDK52","OUT046",3571
"FDA02","OUT017",2355
"FDM56","OUT049",1863
"FDE57","OUT035",2471
"FDM32","OUT045",1439
"NCQ30","OUT027",3341
"FDQ27","OUT027",3181
"FDT60","OUT027",3405
"FDU43","OUT049",3951
"NCO55","OUT035",1879
"FDG02","OUT045",3023
"FDJ28","OUT013",3080
"FDP40","OUT045",1771
"FDJ38","OUT045",3043
"NCC54","OUT017",3923
"NCZ41","OUT046",2011
"FDK38","OUT019",536
"FDU52","OUT013",2508
"FDC40","OUT046",1259
"NCR30","OUT017",1295
"NCN18","OUT017",1855
"FDB50","OUT035",1439
"FDG04","OUT013",3108
"FDR26","OUT035",2975
"NCT17","OUT018",2777
"FDX35","OUT027",5029
"FDS12","OUT046",2011
"NCZ29","OUT027",3413
"FDB38","OUT010",721
"FDP12","OUT013",748
"FDP22","OUT046",763
"FDS26","OUT018",3845
"FDR52","OUT046",3067
"DRJ13","OUT046",2563
"FDU48","OUT027",3509
"FDE29","OUT035",1127
"NCT29","OUT049",2015
"DRK37","OUT018",2769
"FDK55","OUT046",1467
"FDR07","OUT046",1595
"FDO21","OUT027",5029
"FDK46","OUT049",4191
"FDB12","OUT045",1527
"FDT31","OUT027",4533
"FDJ33","OUT045",1959
"FDC26","OUT027",3157
"NCQ02","OUT045",2923
"FDP08","OUT010",1165
"FDB11","OUT027",5021
"FDV55","OUT013",2432
"FDW20","OUT049",2079
"NCJ18","OUT019",-104
"FDC41","OUT018",957
"FDE14","OUT027",3117
"FDG35","OUT013",2948
"FDF45","OUT035",1239
"FDS19","OUT027",2749
"FDS58","OUT019",696
"FDA26","OUT017",3615
"FDM32","OUT049",1551
"FDL45","OUT046",2043
"FDZ55","OUT049",2679
"FDY37","OUT049",2407
"FDO46","OUT046",3107
"FDQ60","OUT046",1963
"FDA19","OUT018",1913
"FDL15","OUT046",2491
"FDM10","OUT018",3137
"NCL05","OUT017",847
"DRK49","OUT010",-1223
"NCE18","OUT027",5365
"FDG40","OUT049",651
"DRI59","OUT045",3479
"FDK28","OUT035",4183
"NCD06","OUT019",-1200
"FDO11","OUT019",2112
"FDK27","OUT046",1979
"FDT43","OUT027",2309
"FDD38","OUT018",1513
"FDA16","OUT049",3547
"FDL14","OUT027",3941
"NCM17","OUT049",803
"FDD20","OUT045",1991
"FDA40","OUT045",1423
"FDL43","OUT045",1239
"FDV15","OUT045",1563
"FDE52","OUT046",1483
"NCL17","OUT010",353
"NCJ31","OUT045",3639
"FDR60","OUT045",1195
"NCA18","OUT035",2023
"FDS21","OUT027",2501
"FDW09","OUT035",1519
"FDL26","OUT035",2703
"FDS47","OUT018",1185
"FDC39","OUT046",3195
"FDT51","OUT035",2055
"FDK40","OUT035",4343
"NCG19","OUT045",3587
"FDZ07","OUT046",1099
"FDF08","OUT027",2925
"FDO04","OUT013",960
"FDK41","OUT018",1077
"FDP15","OUT049",4111
"NCD43","OUT018",1461
"NCP18","OUT013",2412
"FDZ51","OUT046",1611
"DRH13","OUT035",1943
"FDF38","OUT045",699
"NCI43","OUT045",747
"FDM38","OUT027",2229
"FDS03","OUT013",1124
"DRJ47","OUT017",2863
"FDT50","OUT010",-403
"FDV02","OUT046",2715
"NCG18","OUT017",1847
"FDW52","OUT046",2667
"FDS40","OUT035",807
"FDN31","OUT017",3251
"FDA37","OUT045",1987
"FDA15","OUT046",3955
"FDL39","OUT046",2891
"FDJ53","OUT045",1867
"FDX22","OUT013",3452
"NCZ42","OUT045",3675
"FDD56","OUT027",4269
"FDD40","OUT017",3219
"FDS50","OUT013",3512
"NCN14","OUT013",2996
"FDT15","OUT013",3028
"NCS18","OUT027",3117
"NCO26","OUT010",-139
"FDF58","OUT018",813
"NCB19","OUT013",1412
"FDH26","OUT017",2451
"DRB24","OUT027",3845
"FDA49","OUT018",1193
"FDB32","OUT045",1543
"FDI36","OUT017",3331
"NCA17","OUT010",453
"FDH22","OUT013",2020
"NCM26","OUT018",2233
"FDT15","OUT027",4381
"FDB16","OUT018",1165
"NCP54","OUT027",3365
"FDJ36","OUT013",1720
"FDO28","OUT045",1835
"FDU09","OUT013",992
"FDF29","OUT017",2103
"FDY08","OUT013",2328
"DRJ59","OUT018",437
"FDT23","OUT027",2733
"FDU15","OUT018",493
"FDT47","OUT013",1684
"FDI53","OUT019",752
"FDR59","OUT018",3961
"FDD53","OUT035",855
"FDY51","OUT017",3611
"FDT04","OUT049",667
"FDU51","OUT049",2911
"FDG14","OUT035",2679
"NCU06","OUT045",3551
"DRG25","OUT046",2971
"DRH49","OUT035",1543
"FDN15","OUT035",2415
"FDL43","OUT018",1053
"NCT18","OUT049",2935
"NCB31","OUT013",4116
"FDK57","OUT035",2087
"FDY04","OUT019",720
"NCP54","OUT046",1947
"FDF41","OUT013",3856
"FDM01","OUT045",1703
"FDW03","OUT045",1703
"FDF28","OUT045",1943
"FDY37","OUT017",2467
"FDQ03","OUT017",3927
"FDP51","OUT027",3373
"FDJ40","OUT017",1931
"FDC32","OUT049",1599
"DRI49","OUT027",2653
"NCW54","OUT017",995
"FDF09","OUT017",839
"FDP45","OUT018",3793
"DRJ23","OUT018",2761
"FDS59","OUT017",1963
"FDY08","OUT046",2267
"FDX16","OUT049",2459
"FDY16","OUT018",2713
"FDK32","OUT035",2743
"FDQ22","OUT013",696
"NCC31","OUT018",2257
"FDG58","OUT049",2539
"DRF48","OUT013",3048
"DRH36","OUT049",1263
"NCR30","OUT035",1383
"FDB03","OUT019",1832
"FDZ28","OUT027",3453
"FDR35","OUT017",3295
"DRD15","OUT027",5021
"FDJ33","OUT019",88
"FDA56","OUT010",53
"FDP56","OUT046",875
"NCT30","OUT046",779
"FDK15","OUT017",1739
"FDH44","OUT018",2237
"FDV01","OUT013",2568
"DRG03","OUT017",2519
"FDG50","OUT027",2909
"FDR16","OUT010",1445
"FDZ60","OUT046",1723
"DRG03","OUT045",2363
"FDS56","OUT018",4049
"FDU33","OUT045",699
"DRD27","OUT035",1767
"FDW22","OUT046",3611
"DRA24","OUT045",2571
"FDF38","OUT049",811
"FDX48","OUT013",2572
"FDS58","OUT018",2401
"FDC32","OUT046",1531
"NCQ29","OUT045",4051
"DRK39","OUT018",1113
"NCS38","OUT017",1915
"DRO47","OUT013",1836
"DRG27","OUT027",2061
"FDC57","OUT027",4533
"FDS55","OUT046",2395
"NCJ06","OUT018",1677
"FDO01","OUT019",272
"NCM55","OUT045",2871
"FDC52","OUT049",2527
"FDQ15","OUT045",1247
"NCT30","OUT027",2157
"NCR42","OUT027",1941
"FDD28","OUT035",1159
"FDQ34","OUT049",1691
"FDZ12","OUT027",3669
"DRE13","OUT019",-496
"NCN07","OUT019",224
"FDM28","OUT035",3047
"FDI10","OUT017",2879
"FDQ25","OUT013",2848
"FDA38","OUT010",1877
"DRI13","OUT049",3503
"FDY20","OUT027",2941
"NCZ53","OUT035",3183
"NCM31","OUT013",2324
"DRB01","OUT017",3103
"DRF37","OUT046",4123
"NCF42","OUT049",2791
"FDF16","OUT018",2089
"FDB41","OUT013",852
"FDR34","OUT013",3708
"FDR15","OUT018",2337
"NCV42","OUT019",-112
"FDW51","OUT035",3591
"FDU36","OUT017",1719
"FDX60","OUT049",1387
"FDY03","OUT035",2047
"FDW55","OUT045",3967
"FDT01","OUT010",1265
"FDG58","OUT013",2540
"FDK21","OUT017",4095
"NCS41","OUT019",992
"FDS10","OUT045",2831
"NCT53","OUT046",2651
"FDJ28","OUT018",2805
"FDX44","OUT045",1415
"FDT20","OUT018",485
"FDO44","OUT017",1979
"NCX17","OUT049",3751
"FDY01","OUT017",1999
"FDJ12","OUT027",4789
"DRK35","OUT018",469
"FDD47","OUT019",776
"NCM53","OUT035",1895
"FDO45","OUT013",1516
"NCM42","OUT010",-211
"FDE04","OUT046",2915
"NCI30","OUT027",5293
"FDZ19","OUT013",2864
"FDW57","OUT013",2888
"FDA25","OUT013",1796
"FDT22","OUT046",923
"FDP51","OUT013",2004
"FDD48","OUT027",3293
"FDY39","OUT035",3159
"FDO48","OUT010",1657
"FDD23","OUT027",4317
"DRN35","OUT027",2037
"FDT01","OUT035",3575
"FDC20","OUT010",-987
"DRJ35","OUT035",1287
"FDB32","OUT046",1587
"FDL24","OUT046",2843
"NCV42","OUT035",1951
"FDZ46","OUT046",1771
"FDC15","OUT013",2432
"FDD08","OUT019",-1232
"FDY50","OUT049",1507
"FDD36","OUT013",1996
"FDG57","OUT027",2253
"FDL21","OUT018",533
"FDN16","OUT027",3069
"FDJ09","OUT027",2133
"FDS01","OUT010",973
"FDV33","OUT017",4291
"DRE12","OUT017",1939
"FDR07","OUT013",1656
"FDP48","OUT010",1053
"NCB55","OUT035",1063
"FDQ08","OUT013",1140
"FDR34","OUT035",3895
"FDO33","OUT046",1795
"FDP13","OUT045",623
"FDX12","OUT049",3991
"NCT06","OUT049",2691
"FDR16","OUT019",1552
"FDE36","OUT046",2579
"FDZ36","OUT049",3059
"FDV13","OUT045",1443
"NCZ17","OUT035",791
"FDU56","OUT045",2903
"FDM09","OUT035",2927
"FDV02","OUT017",2819
"FDS34","OUT018",1493
"FDA11","OUT049",1635
"FDP09","OUT017",3483
"FDB29","OUT027",3269
"FDT19","OUT017",2991
"DRH15","OUT017",807
"FDY38","OUT046",3683
"FDF14","OUT027",3869
"FDN48","OUT010",-427
"FDQ12","OUT013",3728
"NCJ43","OUT045",2679
"FDE17","OUT019",544
"FDB05","OUT035",4095
"FDH10","OUT045",2995
"NCR06","OUT017",811
"FDU32","OUT018",1793
"FDD56","OUT049",2887
"FDO36","OUT018",2661
"FDH16","OUT010",-471
"FDX10","OUT018",393
"FDZ37","OUT017",1639
"FDU31","OUT010",1625
"DRC49","OUT049",2287
"FDL15","OUT045",2391
"FDN32","OUT019",1144
"DRH59","OUT027",2621
"NCU29","OUT049",2447
"FDR37","OUT019",1136
"FDS14","OUT018",2249
"FDU02","OUT027",4941
"FDJ08","OUT035",3263
"NCZ06","OUT045",3895
"FDO31","OUT049",1495
"FDH31","OUT018",1485
"FDS58","OUT017",2727
"NCA53","OUT027",2253
"FDF50","OUT046",3211
"NCW42","OUT049",3559
"NCQ17","OUT045",2395
"FDK51","OUT018",3937
"NCW41","OUT010",601
"NCR29","OUT017",1043
"FDB08","OUT019",688
"FDA40","OUT027",2797
"FDL14","OUT018",2373
"FDB47","OUT046",3291
"FDO03","OUT035",3871
"DRK13","OUT019",1152
"FDX13","OUT010",2025
"FDF52","OUT046",2899
"FDT11","OUT013",3108
"FDB08","OUT013",2684
"FDQ28","OUT018",2313
"FDD29","OUT045",3939
"NCQ29","OUT027",5517
"NCO02","OUT013",1100
"FDR56","OUT010",1213
"NCM54","OUT049",2043
"FDP51","OUT035",2103
"FDT38","OUT013",1388
"FDZ20","OUT018",3833
"FDJ53","OUT013",1960
"FDX13","OUT049",4043
"FDP58","OUT035",3639
"NCK31","OUT019",-1032
"FDA35","OUT018",1809
"FDV37","OUT018",2981
"NCO07","OUT027",4797
"FDA20","OUT045",2959
"FDZ59","OUT035",2903
"NCY17","OUT017",819
"FDQ28","OUT035",2647
"FDV35","OUT017",2555
"FDQ36","OUT013",656
"FDD34","OUT018",2401
"FDK51","OUT045",4119
"FDV31","OUT035",2967
"FDR04","OUT035",1743
"FDR14","OUT049",891
"DRC36","OUT010",873
"FDE39","OUT019",16
"FDP57","OUT049",1747
"FDE57","OUT046",2331
"NCN18","OUT046",1739
"NCQ05","OUT018",2193
"FDW47","OUT035",2087
"FDV46","OUT035",2407
"NCP29","OUT045",951
"FDE09","OUT018",1625
"NCU06","OUT027",4997
"FDT19","OUT010",837
"DRF15","OUT017",2527
"DRI51","OUT013",2728
"NCX54","OUT013",1712
"DRE01","OUT013",3800
"NCB07","OUT045",2999
"FDU50","OUT035",2023
"FDG40","OUT035",767
"FDW10","OUT018",2557
"FDX51","OUT013",3212
"NCP17","OUT045",991
"FDP21","OUT035",3111
"FDL04","OUT045",1583
"FDV23","OUT013",2008
"FDF24","OUT046",1403
"FDH56","OUT027",3317
"FDB51","OUT049",1063
"FDI58","OUT027",2973
"FDR20","OUT013",936
"FDC51","OUT018",1781
"FDB16","OUT027",2773
"FDE40","OUT049",1051
"NCM17","OUT035",919
"FDU56","OUT035",3207
"FDS32","OUT019",448
"FDX02","OUT049",3583
"FDT39","OUT027",3797
"FDE35","OUT017",1159
"NCI42","OUT019",1440
"DRL23","OUT046",1739
"FDA10","OUT046",1915
"FDA11","OUT013",1624
"NCM06","OUT046",2507
"NCT05","OUT035",4279
"NCQ02","OUT010",1033
"NCY06","OUT049",2111
"FDY56","OUT035",3831
"FDL02","OUT035",1911
"NCI06","OUT035",2967
"FDQ14","OUT045",2303
"FDQ12","OUT017",3763
"FDP36","OUT046",859
"FDK21","OUT027",5389
"FDO40","OUT045",2291
"NCK54","OUT019",64
"FDY09","OUT018",2605
"NCW30","OUT049",4187
"NCC55","OUT027",1989
"FDE58","OUT018",1657
"FDR39","OUT013",2984
"FDU28","OUT049",3035
"FDH08","OUT017",3803
"FDG35","OUT045",2835
"FDG22","OUT049",711
"FDC34","OUT035",2663
"FDP15","OUT018",3809
"FDK34","OUT010",1861
"FDU45","OUT035",2095
"FDQ04","OUT027",2013
"FDX22","OUT018",3161
"FDB45","OUT017",1855
"NCH43","OUT027",4805
"DRE60","OUT046",3499
"FDD17","OUT027",5133
"NCM54","OUT017",2131
"NCH55","OUT013",2068
"NCT06","OUT017",2731
"FDA48","OUT027",4893
"FDY58","OUT027",5021
"FDO25","OUT045",3279
"FDN50","OUT045",1551
"FDH35","OUT035",2855
"FDK09","OUT045",3519
"FDO16","OUT013",1400
"FDW11","OUT045",995
"FDU47","OUT027",3725
"NCQ42","OUT010",101
"FDK55","OUT027",2885
"FDN08","OUT049",2007
"FDT57","OUT045",3715
"FDJ12","OUT018",3137
"DRL59","OUT017",1019
"NCN53","OUT046",635
"FDO51","OUT010",-1123
"FDK56","OUT017",3123
"FDY12","OUT035",1063
"FDU15","OUT035",887
"FDQ19","OUT046",3963
"DRF15","OUT045",2375
"DRE25","OUT019",-448
"FDK57","OUT018",1673
"FDD33","OUT010",1729
"FDR34","OUT027",5085
"FDU04","OUT045",1895
"FDE35","OUT019",-816
"NCD31","OUT035",2775
"FDJ56","OUT035",1751
"NCU53","OUT046",2643
"FDD39","OUT035",3551
"NCU17","OUT019",-272
"FDJ20","OUT046",2043
"NCW41","OUT018",2301
"FDL52","OUT035",871
"FDS39","OUT035",2487
"DRJ47","OUT045",2719
"FDP13","OUT010",-1255
"DRK39","OUT010",-655
"FDF28","OUT010",125
"FDB09","OUT045",1991
"FDM51","OUT046",1707
"DRM49","OUT018",517
"DRF23","OUT013",2832
"DRH01","OUT035",2895
"FDH12","OUT027",3125
"FDA28","OUT019",120
"FDW37","OUT018",1225
"FDF02","OUT046",1675
"DRL37","OUT046",731
"NCF43","OUT046",2315
"FDH08","OUT010",1757
"FDR34","OUT019",1792
"NCK19","OUT049",3099
"NCD55","OUT018",485
"FDT27","OUT049",3819
"FDQ57","OUT045",2303
"FDA47","OUT035",2791
"DRG15","OUT027",2397
"FDE05","OUT018",2137
"FDN46","OUT046",1507
"FDX27","OUT027",2877
"FDT51","OUT045",1799
"FDU33","OUT013",804
"FDJ16","OUT027",2341
"FDD20","OUT019",128
"FDT36","OUT049",627
"DRF15","OUT027",3813
"FDN52","OUT010",-551
"FDC22","OUT027",4437
"FDX15","OUT045",2459
"FDT13","OUT013",3072
"FDU04","OUT017",2079
"FDU31","OUT019",1632
"FDW59","OUT027",2829
"NCO29","OUT046",2659
"FDL15","OUT035",2639
"FDI41","OUT049",2407
"FDQ48","OUT049",1747
"DRI39","OUT013",920
"FDI08","OUT013",4096
"FDC21","OUT049",1931
"FDF58","OUT035",1239
"FDS08","OUT010",941
"FDE47","OUT045",1967
"NCP18","OUT019",512
"NCR41","OUT013",1644
"FDA27","OUT013",4088
"FDA43","OUT035",3367
"FDA49","OUT045",1363
"NCE55","OUT018",2613
"DRM49","OUT027",2149
"FDF22","OUT027",4797
"FDQ15","OUT018",1093
"NCS54","OUT017",2903
"NCY05","OUT013",680
"FDR45","OUT046",3819
"FDK57","OUT049",1995
"FDF41","OUT010",1905
"FDV21","OUT046",2059
"FDD51","OUT046",699
"FDF33","OUT046",2003
"FDA38","OUT046",3771
"FDR56","OUT045",3107
"NCN41","OUT017",2075
"FDC60","OUT027",2853
"FDB47","OUT045",3227
"DRH01","OUT013",2804
"FDW08","OUT046",1699
"FDF38","OUT027",2149
"FDY32","OUT017",2731
"FDG34","OUT049",1879
"FDG47","OUT019",2248
"NCF18","OUT035",3151
"FDL39","OUT019",976
"NCH55","OUT035",2183
"DRJ35","OUT049",1111
"FDS44","OUT035",3999
"DRE01","OUT018",3485
"FDY39","OUT013",3048
"FDY32","OUT018",2369
"FDR33","OUT027",3205
"NCP50","OUT049",1387
"FDZ47","OUT018",1405
"FDU57","OUT049",2519
"FDY44","OUT013",3244
"DRH59","OUT018",993
"FDB03","OUT027",5157
"FDY46","OUT045",2907
"FDM39","OUT045",2699
"FDY36","OUT035",1447
"NCM55","OUT035",3095
"FDJ50","OUT010",-1003
"DRL60","OUT013",2464
"NCJ54","OUT049",3711
"FDX59","OUT017",715
"FDI07","OUT013",3300
"DRF51","OUT010",-1399
"FDM14","OUT017",1939
"FDP21","OUT045",2983
"FDE40","OUT035",1207
"FDE05","OUT035",2567
"FDM13","OUT027",3565
"FDC34","OUT027",3877
"NCI55","OUT018",1737
"NCE43","OUT018",2409
"FDW58","OUT018",1521
"FDG60","OUT045",3659
"FDV31","OUT017",2947
"FDR47","OUT013",3180
"FDM60","OUT019",-1160
"NCF06","OUT018",3853
"NCN26","OUT027",3285
"FDQ59","OUT049",1503
"FDF09","OUT046",715
"NCS06","OUT017",4311
"FDT44","OUT046",1923
"FDI19","OUT017",4007
"FDT22","OUT017",1079
"NCF54","OUT027",4101
"DRG25","OUT045",2895
"FDB59","OUT017",3271
"FDQ37","OUT017",3227
"FDP56","OUT035",1047
"FDW44","OUT035",3023
"FDJ26","OUT010",1509
"FDU43","OUT018",3613
"FDW33","OUT045",1611
"NCX53","OUT027",3717
"FDN56","OUT010",441
"DRF15","OUT049",2475
"FDO33","OUT017",1943
"FDZ39","OUT010",-179
"NCJ19","OUT017",991
"FDU01","OUT035",3215
"FDT12","OUT035",3799
"NCM18","OUT018",757
"FDP19","OUT017",2171
"NCR42","OUT049",623
"FDN10","OUT046",1915
"FDG44","OUT017",1055
"FDQ10","OUT046",2747
"DRH13","OUT049",1775
"FDT52","OUT013",3956
"FDM56","OUT045",1759
"NCO43","OUT010",-307
"NCV29","OUT035",3039
"NCF06","OUT013",4156
"FDO50","OUT035",1679
"FDT59","OUT013",3716
"FDX40","OUT027",2053
"FDE50","OUT017",3167
"FDX51","OUT017",3327
"NCD30","OUT018",1349
"FDK15","OUT013",1672
"FDL12","OUT045",971
"FDK46","OUT017",4227
"DRH49","OUT010",-619
"FDQ57","OUT046",2371
"FDY59","OUT017",1667
"FDO09","OUT018",3913
"NCG30","OUT035",2151
"FDM09","OUT017",2827
"NCN17","OUT027",3037
"NCS42","OUT013",1476
"FDD02","OUT019",0
"FDE34","OUT013",2928
"FDU38","OUT045",2951
"FDB33","OUT046",2587
"NCJ29","OUT017",1543
"FDZ27","OUT035",983
"FDI40","OUT013",1648
"FDG22","OUT013",736
"FDT51","OUT017",1991
"FDF20","OUT018",2989
"FDV50","OUT035",2079
"FDT02","OUT049",671
"DRC49","OUT017",2415
"FDF26","OUT049",2567
"FDV52","OUT035",2135
"FDX59","OUT049",679
"FDV25","OUT035",3735
"FDW23","OUT027",2061
"FDE53","OUT018",1509
"FDA19","OUT017",2259
"FDH22","OUT046",1995
"NCO41","OUT013",1652
"FDX12","OUT017",4003
"FDF17","OUT013",3168
"FDS11","OUT045",3511
"FDR51","OUT035",2583
"FDT49","OUT010",-283
"FDC56","OUT013",2000
"FDR13","OUT027",3357
"FDQ60","OUT035",2151
"FDN38","OUT049",4051
"NCL29","OUT013",2540
"FDO13","OUT027",4053
"FDE26","OUT018",2089
"FDA31","OUT010",809
"FDX14","OUT035",1375
"FDA34","OUT045",2771
"FDF26","OUT013",2572
"FDE38","OUT045",2627
"DRI11","OUT046",1867
"FDQ60","OUT027",3333
"FDL21","OUT027",2133
"DRC12","OUT027",4445
"FDC47","OUT046",3579
"FDE57","OUT045",2239
"FDT14","OUT045",1839
"NCZ53","OUT046",3051
"FDE28","OUT018",3405
"FDR19","OUT035",2519
"NCF54","OUT019",832
"FDZ08","OUT046",1387
"NCJ05","OUT018",2241
"FDF59","OUT046",2075
"NCO05","OUT035",1815
"FDW24","OUT018",633
"NCX42","OUT018",2421
"NCA53","OUT035",991
"FDI45","OUT019",968
"FDG46","OUT046",1883
"FDM20","OUT010",1969
"FDW11","OUT010",-911
"FDX08","OUT035",3095
"NCK17","OUT035",887
"FDK32","OUT018",2281
"NCA42","OUT035",2711
"DRI01","OUT035",2903
"NCL55","OUT049",4067
"DRE25","OUT018",1281
"FDD14","OUT017",2999
"FDB10","OUT046",3731
"DRN11","OUT035",2455
"FDP38","OUT018",665
"NCA30","OUT017",3047
"FDT15","OUT017",2999
"NCP55","OUT018",729
"FDF12","OUT035",2567
"FDM21","OUT018",3817
"FDX56","OUT035",3527
"FDF10","OUT017",2431
"FDT32","OUT045",3027
"FDM51","OUT018",1489
"NCR50","OUT018",2229
"FDI19","OUT049",3923
"FDX21","OUT017",1847
"FDR31","OUT035",2599
"FDY02","OUT013",4172
"NCA29","OUT045",2655
"NCX17","OUT046",3643
"FDM12","OUT045",3007
"FDI53","OUT027",3941
"NCU30","OUT049",2683
"FDC56","OUT027",3357
"FDK27","OUT018",1797
"NCK18","OUT017",2771
"FDB52","OUT019",2152
"DRG25","OUT027",4397
"FDZ13","OUT049",823
"FDB57","OUT019",1752
"FDR40","OUT046",1403
"NCO14","OUT019",-1168
"NCN19","OUT045",2975
"FDQ28","OUT019",576
"FDO13","OUT018",2441
"FDK48","OUT013",1360
"FDU07","OUT018",2253
"FDW20","OUT046",2059
"FDV12","OUT010",-299
"FDH24","OUT013",2604
"FDV59","OUT049",3503
"FDK57","OUT045",1851
"FDL16","OUT027",2093
"NCQ17","OUT046",2459
"FDJ15","OUT018",2741
"FDX24","OUT049",1627
"FDT47","OUT046",1643
"FDT10","OUT049",1103
"FDZ37","OUT018",1289
"FDW43","OUT027",5141
"DRN36","OUT017",1655
"FDJ14","OUT045",1319
"FDA32","OUT013",3556
"FDJ38","OUT019",1192
"FDQ57","OUT017",2499
"NCQ41","OUT019",1216
"FDG56","OUT049",1135
"DRC13","OUT027",3429
"FDV55","OUT035",2535
"FDQ49","OUT045",2551
"FDE29","OUT010",-1031
"FDR03","OUT013",3404
"FDD45","OUT049",1651
"FDN38","OUT010",2045
"FDT56","OUT046",1027
"FDT48","OUT045",3195
"FDU03","OUT049",2979
"FDC56","OUT010",-71
"NCO43","OUT027",2997
"FDQ27","OUT017",1831
"FDR03","OUT046",3363
"DRH23","OUT010",-1131
"FDG22","OUT045",631
"NCJ42","OUT013",1716
"FDR24","OUT046",1531
"FDW60","OUT035",3063
"FDJ08","OUT013",3088
"DRL59","OUT018",673
"FDG60","OUT010",1749
"FDW27","OUT017",2703
"FDX14","OUT018",993
"FDC20","OUT013",1044
"NCS29","OUT018",3941
"FDJ56","OUT046",1611
"FDB20","OUT019",-608
"FDL28","OUT027",5045
"FDW01","OUT018",2217
"FDL03","OUT046",3211
"FDX22","OUT049",3443
"FDJ21","OUT035",2535
"FDR31","OUT045",2387
"FDG21","OUT035",2791
"FDS22","OUT027",2181
"FDK08","OUT035",1847
"FDE17","OUT018",2217
"NCN30","OUT017",1659
"FDT50","OUT046",1563
"NCX42","OUT049",2675
"FDJ12","OUT035",3551
"NCA18","OUT027",3261
"FDP23","OUT019",1560
"FDX12","OUT013",3828
"FDN40","OUT018",2181
"FDV48","OUT035",1511
"NCY54","OUT013",2696
"FDL16","OUT010",-1287
"FDR45","OUT018",3585
"FDJ52","OUT046",2587
"DRG01","OUT017",1375
"FDP52","OUT013",3724
"FDU58","OUT017",3143
"FDL02","OUT045",1675
"FDG28","OUT013",3940
"FDA19","OUT035",2303
"FDW46","OUT027",2525
"NCD43","OUT049",1727
"DRG39","OUT013",888
"NCF55","OUT049",671
"FDJ07","OUT046",1915
"FDE08","OUT046",2419
"FDP56","OUT019",-1024
"FDT45","OUT045",823
"FDF17","OUT018",2865
"FDX44","OUT046",1491
"FDM28","OUT027",4253
"FDI36","OUT049",3259
"FDS07","OUT045",1815
"FDD36","OUT045",1863
"FDW11","OUT046",1019
"FDN40","OUT049",2499
"NCQ18","OUT049",1575
"NCQ54","OUT017",2763
"NCS42","OUT045",1391
"DRH39","OUT010",-771
"FDC09","OUT027",3173
"FDT08","OUT010",521
"FDC08","OUT035",3863
"FDT20","OUT017",811
"FDS35","OUT035",1223
"FDX58","OUT018",2677
"FDW58","OUT046",1739
"DRD27","OUT046",1611
"FDH32","OUT019",-304
"FDS26","OUT035",4279
"FDQ31","OUT046",1515
"FDP11","OUT018",3257
"FDD58","OUT017",1731
"FDM33","OUT045",3379
"FDZ16","OUT049",3139
"NCS29","OUT010",2201
"NCM18","OUT019",-976
"FDP11","OUT049",3543
"NCC42","OUT017",2391
"DRM23","OUT046",2723
"NCN55","OUT027",5173
"FDK46","OUT013",4136
"FDR01","OUT046",3243
"NCA05","OUT045",2355
"NCP43","OUT017",2951
"FDR12","OUT010",849
"FDQ01","OUT013",4112
"FDM13","OUT046",2155
"FDQ19","OUT017",4079
"FDK56","OUT019",1024
"NCX06","OUT010",933
"FDO56","OUT027",3405
"FDU45","OUT045",1799
"FDI16","OUT019",-1056
"FDL32","OUT046",1883
"FDA07","OUT046",2091
"FDA14","OUT045",2243
"FDV46","OUT027",3661
"NCO07","OUT035",3575
"NCP41","OUT046",1739
"FDY60","OUT018",2113
"FDN38","OUT017",4019
"FDO15","OUT046",1315
"FDT60","OUT013",2020
"FDA55","OUT035",3815
"FDE02","OUT010",-435
"DRJ39","OUT049",3539
"FDV34","OUT035",1463
"FDS20","OUT027",4349
"FDF02","OUT027",3061
"FDW40","OUT017",2411
"NCB43","OUT046",2923
"FDR58","OUT017",1603
"DRJ59","OUT035",895
"NCD30","OUT017",1703
"FDE14","OUT017",1783
"FDC28","OUT018",1505
"FDU16","OUT018",1161
"NCD19","OUT035",1111
"FDU21","OUT046",651
"FDV59","OUT027",4861
"FDU03","OUT045",2919
"FDC33","OUT010",1353
"NCR42","OUT035",775
"DRH59","OUT035",1423
"NCM31","OUT035",2543
"FDS50","OUT035",3671
"FDP39","OUT046",891
"FDQ55","OUT013",2036
"FDV36","OUT019",128
"FDI05","OUT027",2637
"FDS45","OUT027",3181
"FDA39","OUT045",643
"FDC37","OUT010",-159
"FDJ60","OUT027",4101
"DRQ35","OUT046",1995
"NCJ06","OUT046",1915
"NCY42","OUT018",2085
"DRM37","OUT049",3199
"FDR14","OUT045",707
"FDE51","OUT049",799
"FDT33","OUT017",2827
"FDR08","OUT013",1916
"FDE36","OUT010",729
"FDL22","OUT019",-432
"FDR44","OUT013",2224
"FDI56","OUT019",-448
"FDE47","OUT010",149
"FDV27","OUT010",-411
"FDV10","OUT049",811
"FDC40","OUT045",1215
"NCX41","OUT013",3412
"NCQ38","OUT027",3101
"FDV12","OUT027",3077
"FDE52","OUT017",1571
"FDG20","OUT027",4261
"FDV16","OUT027",1997
"FDI32","OUT017",1943
"FDJ32","OUT049",1163
"FDN39","OUT018",2529
"FDY34","OUT017",2851
"FDC14","OUT035",959
"FDA55","OUT017",3763
"FDZ50","OUT010",937
